Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.440

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-04, 23:10:02, OK, 98%, 0.00, -1, -7209, , 17.440, -7209, 98.0%, , , , , , , , , , , , 
2026-03-04, 23:11:02, OK, 97%, 1.33, 4627, -47910, , 16.583, -47910, 96.0%, , , , , , , , , , , , 
2026-03-04, 23:12:02, OK, 95%, 0.90, 3066, -60155, , 16.071, -60155, 95.0%, , , , , , , , , , , , 
2026-03-04, 23:13:02, OK, 93%, 0.93, 3102, -73327, , 16.283, -73327, 93.0%, , , , , , , , , , , , 
2026-03-04, 23:14:02, OK, 91%, 0.76, 2487, -58540, , 16.366, -58540, 91.0%, , , , , , , , , , , , 
2026-03-04, 23:15:02, OK, 89%, 0.97, 3106, -51586, , 16.256, -51586, 89.0%, , , , , , , , , , , , 
2026-03-04, 23:16:02, OK, 88%, 1.71, 5414, -48549, , 16.303, -48549, 88.0%, , , , , , , , , , , , 
2026-03-04, 23:17:02, OK, 87%, 1.87, 5859, -63208, , 16.076, -63208, 87.0%, , , , , , , , , , , , 
2026-03-04, 23:18:02, OK, 86%, 1.74, 5381, -49348, , 16.191, -49348, 86.0%, , , , , , , , , , , , 
2026-03-04, 23:19:02, OK, 85%, 1.89, 5788, -59803, , 15.956, -59803, 85.0%, , , , , , , , , , , , 
2026-03-04, 23:20:02, OK, 83%, 0.86, 2559, -87603, , 15.716, -87603, 83.0%, , , , , , , , , , , , 
2026-03-04, 23:21:02, OK, 81%, 0.84, 2449, -93118, , 15.671, -93118, 81.0%, , , , , , , , , , , , 
2026-03-04, 23:22:02, OK, 80%, 1.72, 4945, -61386, , 15.619, -61386, 80.0%, , , , , , , , , , , , 
2026-03-04, 23:23:02, OK, 78%, 0.88, 2459, -88194, , 15.557, -88194, 78.0%, , , , , , , , , , , , 
2026-03-04, 23:24:02, OK, 76%, 0.79, 2157, -98601, , 15.296, -98601, 76.0%, , , , , , , , , , , , 
2026-03-04, 23:25:02, OK, 74%, 1.47, 3920, -79706, , 15.371, -79706, 74.0%, , , , , , , , , , , , 
2026-03-04, 23:26:02, OK, 72%, 0.80, 2070, -99177, , 15.173, -99177, 72.0%, , , , , , , , , , , , 
2026-03-04, 23:27:02, OK, 70%, 1.33, 3340, -56286, , 15.595, -56286, 70.0%, , , , , , , , , , , , 
2026-03-04, 23:28:02, OK, 69%, 1.12, 2776, -65558, , 15.500, -65558, 69.0%, , , , , , , , , , , , 
2026-03-04, 23:29:02, OK, 68%, 1.13, 2776, -65750, , 15.439, -65750, 68.0%, , , , , , , , , , , , 
2026-03-04, 23:30:02, OK, 67%, 1.10, 2649, -55951, , 15.570, -55951, 66.0%, , , , , , , , , , , , 
2026-03-04, 23:31:02, OK, 65%, 1.34, 3144, -57885, , 15.376, -57885, 65.0%, , , , , , , , , , , , 
2026-03-04, 23:32:02, OK, 64%, 1.57, 3619, -58828, , 15.373, -58828, 64.0%, , , , , , , , , , , , 
2026-03-04, 23:33:02, OK, 62%, 1.33, 2977, -67908, , 15.301, -67908, 62.0%, , , , , , , , , , , , 
2026-03-04, 23:34:02, OK, 61%, 1.46, 3203, -57741, , 15.233, -57741, 61.0%, , , , , , , , , , , , 
2026-03-04, 23:35:02, OK, 60%, 1.28, 2764, -61242, , 15.297, -61242, 59.0%, , , , , , , , , , , , 
2026-03-04, 23:36:02, OK, 58%, 1.51, 3153, -65318, , 15.160, -65318, 58.0%, , , , , , , , , , , , 
2026-03-04, 23:37:02, OK, 57%, 1.19, 2444, -56638, , 15.228, -56638, 57.0%, , , , , , , , , , , , 
2026-03-04, 23:38:02, OK, 56%, 1.62, 3274, -55311, , 15.222, -55311, 56.0%, , , , , , , , , , , , 
2026-03-04, 23:39:02, OK, 55%, 1.66, 3278, -51442, , 15.179, -51442, 55.0%, , , , , , , , , , , , 
2026-03-04, 23:40:02, OK, 53%, 1.65, 3153, -49684, , 15.118, -49684, 53.0%, , , , , , , , , , , , 
2026-03-04, 23:41:02, OK, 52%, 1.56, 2919, -51874, , 15.131, -51874, 52.0%, , , , , , , , , , , , 
2026-03-04, 23:42:02, OK, 51%, 1.80, 3304, -44169, , 15.117, -44169, 51.0%, , , , , , , , , , , , 
2026-03-04, 23:43:02, OK, 50%, 1.29, 2321, -51490, , 14.956, -51490, 50.0%, , , , , , , , , , , , 
2026-03-04, 23:44:02, OK, 48%, 0.91, 1576, -69571, , 14.773, -69571, 48.0%, , , , , , , , , , , , 
2026-03-04, 23:45:02, OK, 47%, 1.16, 1961, -52817, , 14.881, -52817, 47.0%, , , , , , , , , , , , 
2026-03-04, 23:46:02, OK, 46%, 1.80, 2973, -64695, , 14.878, -64695, 46.0%, , , , , , , , , , , , 
2026-03-04, 23:47:02, OK, 44%, 1.06, 1683, -75070, , 14.681, -75070, 44.0%, , , , , , , , , , , , 
2026-03-04, 23:48:02, OK, 42%, 1.37, 2071, -60938, , 14.736, -60938, 42.0%, , , , , , , , , , , , 
2026-03-04, 23:49:02, OK, 42%, 1.16, 1756, -74718, , 14.629, -74718, 41.0%, , , , , , , , , , , , 
2026-03-04, 23:50:02, OK, 40%, 1.08, 1561, -71425, , 14.591, -71425, 39.0%, , , , , , , , , , , , 
2026-03-04, 23:51:02, OK, 38%, 1.22, 1675, -71345, , 14.627, -71345, 38.0%, , , , , , , , , , , , 
2026-03-04, 23:52:02, OK, 36%, 1.17, 1521, -70146, , 14.540, -70146, 36.0%, , , , , , , , , , , , 
2026-03-04, 23:53:02, OK, 35%, 1.44, 1812, -49988, , 14.754, -49988, 35.0%, , , , , , , , , , , , 
2026-03-04, 23:54:02, OK, 34%, 1.24, 1513, -60219, , 14.708, -60219, 34.0%, , , , , , , , , , , , 
2026-03-04, 23:55:02, OK, 32%, 1.30, 1502, -66949, , 14.695, -66949, 32.0%, , , , , , , , , , , , 
