Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.440

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-05, 00:00:02, OK, 27%, 1.74, 1696, -46599, , 14.687, -46599, 27.0%, , , , , , , , , , , , 
2026-03-05, 00:01:02, OK, 26%, 1.92, 1801, -46775, , 14.629, -46775, 26.0%, , , , , , , , , , , , 
2026-03-05, 00:02:02, OK, 25%, 1.84, 1657, -40844, , 14.670, -40844, 25.0%, , , , , , , , , , , , 
2026-03-05, 00:03:02, OK, 24%, 1.76, 1520, -40396, , 14.652, -40396, 24.0%, , , , , , , , , , , , 
2026-03-05, 00:04:02, OK, 23%, 1.92, 1587, -57757, , 14.485, -57757, 23.0%, , , , , , , , , , , , 
2026-03-05, 00:05:02, OK, 22%, 1.62, 1281, -48741, , 14.557, -48741, 22.0%, , , , , , , , , , , , 
2026-03-05, 00:06:02, OK, 21%, 1.84, 1390, -41100, , 14.595, -41100, 21.0%, , , , , , , , , , , , 
2026-03-05, 00:07:02, OK, 20%, 2.10, 1513, -39165, , 14.601, -39165, 20.0%, , , , , , , , , , , , 
2026-03-05, 00:08:02, OK, 19%, 1.97, 1350, -41371, , 14.492, -41371, 19.0%, , , , , , , , , , , , 
2026-03-05, 00:09:02, OK, 18%, 2.11, 1368, -37679, , 14.606, -37679, 18.0%, , , , , , , , , , , , 
2026-03-05, 00:10:02, OK, 18%, 2.06, 1335, -38174, , 14.600, -38174, 17.0%, , , , , , , , , , , , 
2026-03-05, 00:11:02, OK, 17%, 2.14, 1309, -37950, , 14.528, -37950, 17.0%, , , , , , , , , , , , 
2026-03-05, 00:12:02, OK, 16%, 1.94, 1119, -40748, , 14.547, -40748, 16.0%, , , , , , , , , , , , 
2026-03-05, 00:13:02, OK, 16%, 2.01, 1160, -37423, , 14.529, -37423, 15.0%, , , , , , , , , , , , 
2026-03-05, 00:14:02, OK, 14%, 2.04, 1028, -43433, , 14.492, -43433, 14.0%, , , , , , , , , , , , 
2026-03-05, 00:15:02, OK, 13%, 1.94, 906, -38430, , 14.500, -38430, 13.0%, , , , , , , , , , , , 
2026-03-05, 00:16:02, OK, 13%, 2.04, 954, -39805, , 14.466, -39805, 12.0%, , , , , , , , , , , , 
2026-03-05, 00:17:02, OK, 12%, 1.98, 857, -40524, , 14.453, -40524, 11.0%, , , , , , , , , , , , 
2026-03-05, 00:18:02, OK, 11%, 2.05, 812, -40540, , 14.385, -40540, 11.0%, , , , , , , , , , , , 
2026-03-05, 00:19:02, OK, 10%, 1.89, 682, -41531, , 14.402, -41531, 10.0%, , , , , , , , , , , , 
2026-03-05, 00:20:02, OK, 9%, 1.96, 635, -41851, , 14.339, -41851, 9.0%, , , , , , , , , , , , 
2026-03-05, 15:43:31, OK, 100%, 0.95, 3405, -83878, , 16.066, -83878, 100.0%, , , , , , , , , , , , 
2026-03-05, 15:44:31, OK, 99%, 1.13, 4024, -68723, , 16.200, -68723, 98.0%, , , , , , , , , , , , 
2026-03-05, 15:45:31, OK, 98%, 1.98, 6996, -39980, , 16.514, -39980, 97.0%, , , , , , , , , , , , 
2026-03-05, 15:46:31, OK, 97%, 2.19, 7659, -40396, , 16.478, -40396, 97.0%, , , , , , , , , , , , 
2026-03-05, 15:47:31, OK, 96%, 1.88, 6503, -40796, , 16.437, -40796, 96.0%, , , , , , , , , , , , 
2026-03-05, 15:49:21, OK, 94%, 4.01, 13558, -19806, , 16.566, -19806, 94.0%, , , , , , , , , , , , 
2026-03-05, 17:44:46, OK, 90%, 20.21, 65474, 41307, , 17.374, 41307, 90.0%, , , , , , , , , , , , 
2026-03-05, 17:45:19, OK, 90%, 0.00, -1, -77931, , 15.853, -77931, 90.0%, , , , , , , , , , , , 
2026-03-05, 17:46:19, OK, 88%, 1.94, 6158, -38190, , 16.038, -38190, 88.0%, , , , , , , , , , , , 
2026-03-05, 17:47:19, OK, 87%, 2.32, 7258, -34050, , 16.107, -34050, 87.0%, , , , , , , , , , , , 
2026-03-05, 17:48:19, OK, 87%, 2.17, 6783, -38238, , 16.008, -38238, 87.0%, , , , , , , , , , , , 
2026-03-05, 17:49:19, OK, 86%, 2.17, 6714, -36272, , 15.999, -36272, 86.0%, , , , , , , , , , , , 
2026-03-05, 17:50:19, OK, 85%, 1.77, 5425, -39597, , 15.807, -39597, 85.0%, , , , , , , , , , , , 
