Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.431

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-11, 14:54:35, OK, 99%, 0.00, -1, 11414, , 17.431, 11414, 99.0%, , , , , , , , , , , , 
2026-03-11, 14:55:35, OK, 98%, 1.35, 4778, -35169, , 16.544, -35169, 98.0%, , , , , , , , , , , , 
2026-03-11, 14:56:35, OK, 97%, 2.29, 7991, -36735, , 16.669, -36735, 97.0%, , , , , , , , , , , , 
2026-03-11, 14:57:35, OK, 96%, 2.27, 7843, -34449, , 16.568, -34449, 96.0%, , , , , , , , , , , , 
2026-03-11, 14:58:35, OK, 95%, 2.26, 7740, -33186, , 16.593, -33186, 95.0%, , , , , , , , , , , , 
2026-03-11, 14:59:35, OK, 95%, 2.33, 7974, -37087, , 16.141, -37087, 95.0%, , , , , , , , , , , , 
2026-03-11, 15:00:35, OK, 94%, 2.30, 7780, -39773, , 16.410, -39773, 94.0%, , , , , , , , , , , , 
2026-03-11, 15:01:35, OK, 93%, 2.08, 6967, -38190, , 16.215, -38190, 93.0%, , , , , , , , , , , , 
2026-03-11, 15:02:35, OK, 92%, 1.22, 4055, -34417, , 16.256, -34417, 92.0%, , , , , , , , , , , , 
2026-03-11, 15:03:35, OK, 91%, 2.33, 7628, -34529, , 16.408, -34529, 91.0%, , , , , , , , , , , , 
2026-03-11, 15:04:35, OK, 90%, 2.14, 6944, -36623, , 16.144, -36623, 90.0%, , , , , , , , , , , , 
2026-03-11, 15:05:35, OK, 89%, 2.07, 6625, -41563, , 16.247, -41563, 89.0%, , , , , , , , , , , , 
2026-03-11, 15:06:35, OK, 88%, 2.12, 6717, -37950, , 16.245, -37950, 88.0%, , , , , , , , , , , , 
2026-03-11, 15:07:35, OK, 87%, 2.06, 6449, -38110, , 16.251, -38110, 87.0%, , , , , , , , , , , , 
2026-03-11, 15:08:35, OK, 86%, 2.13, 6607, -37087, , 16.076, -37087, 86.0%, , , , , , , , , , , , 
