Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.446

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-02, 00:00:57, OK, 51%, 1.69, 3102, -50132, , 14.979, -50132, 51.0%, , , , , , , , , , , , 
2026-03-02, 00:01:57, OK, 50%, 1.72, 3090, -48565, , 14.925, -48565, 50.0%, , , , , , , , , , , , 
2026-03-02, 00:02:57, OK, 49%, 1.23, 2171, -64919, , 14.558, -64919, 48.0%, , , , , , , , , , , , 
2026-03-02, 00:03:57, OK, 47%, 1.55, 2615, -48949, , 14.909, -48949, 47.0%, , , , , , , , , , , , 
2026-03-02, 00:04:57, OK, 46%, 1.56, 2578, -47894, , 14.870, -47894, 46.0%, , , , , , , , , , , , 
2026-03-02, 00:05:57, OK, 45%, 1.66, 2689, -47126, , 14.853, -47126, 45.0%, , , , , , , , , , , , 
2026-03-02, 00:06:57, OK, 44%, 1.68, 2669, -47158, , 14.846, -47158, 44.0%, , , , , , , , , , , , 
2026-03-02, 00:07:57, OK, 43%, 1.65, 2555, -48581, , 14.822, -48581, 43.0%, , , , , , , , , , , , 
2026-03-02, 00:08:57, OK, 42%, 1.69, 2551, -50052, , 14.781, -50052, 42.0%, , , , , , , , , , , , 
2026-03-02, 00:09:57, OK, 41%, 1.65, 2433, -46423, , 14.819, -46423, 41.0%, , , , , , , , , , , , 
2026-03-02, 00:10:57, OK, 40%, 1.67, 2407, -49396, , 14.788, -49396, 40.0%, , , , , , , , , , , , 
2026-03-02, 00:11:57, OK, 39%, 1.57, 2209, -47382, , 14.755, -47382, 39.0%, , , , , , , , , , , , 
2026-03-02, 00:12:57, OK, 38%, 1.66, 2266, -46870, , 14.649, -46870, 38.0%, , , , , , , , , , , , 
2026-03-02, 00:13:57, OK, 37%, 1.71, 2275, -48901, , 14.711, -48901, 37.0%, , , , , , , , , , , , 
2026-03-02, 00:14:57, OK, 35%, 1.60, 2013, -48917, , 14.699, -48917, 35.0%, , , , , , , , , , , , 
2026-03-02, 00:15:57, OK, 34%, 1.69, 2068, -50275, , 14.650, -50275, 34.0%, , , , , , , , , , , , 
2026-03-02, 00:16:57, OK, 33%, 1.76, 2085, -48549, , 14.594, -48549, 33.0%, , , , , , , , , , , , 
2026-03-02, 00:17:57, OK, 33%, 1.58, 1874, -47590, , 14.649, -47590, 32.0%, , , , , , , , , , , , 
2026-03-02, 00:18:57, OK, 31%, 1.65, 1844, -45640, , 14.584, -45640, 31.0%, , , , , , , , , , , , 
2026-03-02, 00:19:57, OK, 30%, 1.72, 1857, -39085, , 14.626, -39085, 30.0%, , , , , , , , , , , , 
2026-03-02, 00:20:57, OK, 29%, 2.09, 2180, -37023, , 14.688, -37023, 29.0%, , , , , , , , , , , , 
2026-03-02, 00:21:57, OK, 28%, 2.16, 2177, -36959, , 14.666, -36959, 28.0%, , , , , , , , , , , , 
2026-03-02, 00:22:57, OK, 28%, 2.14, 2155, -37167, , 14.668, -37167, 28.0%, , , , , , , , , , , , 
2026-03-02, 00:23:57, OK, 27%, 2.16, 2100, -37279, , 14.622, -37279, 27.0%, , , , , , , , , , , , 
2026-03-02, 00:24:57, OK, 26%, 2.09, 1956, -38941, , 14.633, -38941, 26.0%, , , , , , , , , , , , 
2026-03-02, 00:25:57, OK, 26%, 2.11, 1974, -37087, , 14.626, -37087, 25.0%, , , , , , , , , , , , 
2026-03-02, 00:26:57, OK, 24%, 2.18, 1882, -37023, , 14.624, -37023, 24.0%, , , , , , , , , , , , 
2026-03-02, 00:27:57, OK, 24%, 2.18, 1884, -36687, , 14.600, -36687, 24.0%, , , , , , , , , , , , 
2026-03-02, 00:28:57, OK, 23%, 2.17, 1794, -36735, , 14.601, -36735, 23.0%, , , , , , , , , , , , 
2026-03-02, 00:29:57, OK, 22%, 2.16, 1712, -36799, , 14.582, -36799, 22.0%, , , , , , , , , , , , 
2026-03-02, 00:30:57, OK, 21%, 2.17, 1640, -37375, , 14.578, -37375, 21.0%, , , , , , , , , , , , 
2026-03-02, 00:31:57, OK, 20%, 2.14, 1541, -36959, , 14.551, -36959, 20.0%, , , , , , , , , , , , 
2026-03-02, 00:32:57, OK, 19%, 2.17, 1481, -37375, , 14.536, -37375, 19.0%, , , , , , , , , , , , 
2026-03-02, 00:33:57, OK, 19%, 2.15, 1472, -35728, , 14.499, -35728, 19.0%, , , , , , , , , , , , 
2026-03-02, 00:34:57, OK, 18%, 2.18, 1414, -36144, , 14.524, -36144, 18.0%, , , , , , , , , , , , 
2026-03-02, 00:35:57, OK, 17%, 2.21, 1354, -36208, , 14.469, -36208, 17.0%, , , , , , , , , , , , 
2026-03-02, 00:36:57, OK, 17%, 2.19, 1340, -36416, , 14.461, -36416, 16.0%, , , , , , , , , , , , 
2026-03-02, 00:37:57, OK, 15%, 2.13, 1149, -36623, , 14.454, -36623, 15.0%, , , , , , , , , , , , 
2026-03-02, 00:38:57, OK, 15%, 2.15, 1160, -36512, , 14.464, -36512, 15.0%, , , , , , , , , , , , 
2026-03-02, 00:39:57, OK, 14%, 2.15, 1082, -35984, , 14.430, -35984, 14.0%, , , , , , , , , , , , 
2026-03-02, 00:40:57, OK, 13%, 2.15, 1006, -36304, , 14.399, -36304, 13.0%, , , , , , , , , , , , 
2026-03-02, 00:41:57, OK, 13%, 2.14, 1001, -39405, , 14.394, -39405, 12.0%, , , , , , , , , , , , 
2026-03-02, 00:42:57, OK, 11%, 2.10, 832, -36799, , 14.375, -36799, 11.0%, , , , , , , , , , , , 
2026-03-02, 00:43:57, OK, 11%, 2.17, 861, -36591, , 14.366, -36591, 11.0%, , , , , , , , , , , , 
2026-03-02, 00:44:57, OK, 10%, 2.19, 787, -36671, , 14.338, -36671, 10.0%, , , , , , , , , , , , 
