Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.446

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-02-22, 14:05:07, OK, 99%, 0.00, -1, 5643, , 17.446, 5643, 99.0%, , , , , , , , , , , , 
2026-02-22, 14:06:07, OK, 99%, 1.46, 5192, -34066, , 16.774, -34066, 99.0%, , , , , , , , , , , , 
2026-02-22, 14:07:07, OK, 98%, 1.00, 3532, -33426, , 16.711, -33426, 98.0%, , , , , , , , , , , , 
2026-02-22, 14:08:07, OK, 97%, 1.59, 5543, -33011, , 16.677, -33011, 97.0%, , , , , , , , , , , , 
2026-02-22, 14:09:07, OK, 97%, 2.51, 8749, -34929, , 16.651, -34929, 96.0%, , , , , , , , , , , , 
2026-02-22, 14:10:07, OK, 95%, 2.13, 7272, -37487, , 16.549, -37487, 95.0%, , , , , , , , , , , , 
2026-02-22, 14:11:07, OK, 94%, 1.29, 4371, -65079, , 16.184, -65079, 94.0%, , , , , , , , , , , , 
2026-02-22, 14:12:07, OK, 93%, 1.59, 5325, -63800, , 16.129, -63800, 93.0%, , , , , , , , , , , , 
2026-02-22, 14:13:07, OK, 92%, 2.24, 7426, -49364, , 16.372, -49364, 92.0%, , , , , , , , , , , , 
2026-02-22, 14:14:07, OK, 92%, 2.09, 6917, -36895, , 16.413, -36895, 91.0%, , , , , , , , , , , , 
2026-02-22, 14:15:07, OK, 91%, 2.07, 6784, -37295, , 16.382, -37295, 91.0%, , , , , , , , , , , , 
2026-02-22, 14:16:07, OK, 90%, 2.14, 6939, -44968, , 16.297, -44968, 90.0%, , , , , , , , , , , , 
2026-02-22, 14:17:07, OK, 89%, 1.94, 6208, -43545, , 16.280, -43545, 89.0%, , , , , , , , , , , , 
2026-02-22, 14:18:07, OK, 88%, 2.14, 6779, -37199, , 16.301, -37199, 88.0%, , , , , , , , , , , , 
2026-02-22, 14:19:07, OK, 87%, 2.20, 6900, -36719, , 16.240, -36719, 87.0%, , , , , , , , , , , , 
2026-02-22, 14:20:07, OK, 87%, 2.26, 7067, -34609, , 16.263, -34609, 86.0%, , , , , , , , , , , , 
2026-02-22, 14:21:07, OK, 85%, 2.11, 6469, -38270, , 16.197, -38270, 85.0%, , , , , , , , , , , , 
2026-02-22, 14:22:07, OK, 85%, 2.12, 6479, -38382, , 16.180, -38382, 85.0%, , , , , , , , , , , , 
2026-02-22, 14:23:07, OK, 84%, 2.25, 6814, -36799, , 16.129, -36799, 84.0%, , , , , , , , , , , , 
2026-02-22, 14:24:07, OK, 83%, 2.22, 6635, -37774, , 16.134, -37774, 83.0%, , , , , , , , , , , , 
