Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.340

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-02-24, 11:03:30, OK, 100%, 0.00, -1, 0, , 17.340, 0, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:04:30, OK, 100%, 0.00, -1, 0, , 17.342, 0, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:05:30, OK, 100%, 0.00, -1, 0, , 17.341, 0, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:06:30, OK, 100%, 0.00, -1, -50499, , 16.696, -50499, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:07:30, OK, 100%, 1.52, 5470, -40892, , 16.575, -40892, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:08:30, OK, 100%, 1.96, 7046, -37391, , 16.589, -37391, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:09:30, OK, 100%, 1.79, 6457, -36719, , 16.580, -36719, 100.0%, , , , , , , , , , , , 
2026-02-24, 11:10:30, OK, 99%, 2.43, 8644, -38206, , 16.553, -38206, 99.0%, , , , , , , , , , , , 
2026-02-24, 11:11:30, OK, 99%, 2.16, 7688, -38030, , 16.519, -38030, 99.0%, , , , , , , , , , , , 
2026-02-24, 11:12:30, OK, 98%, 2.22, 7829, -39645, , 16.482, -39645, 98.0%, , , , , , , , , , , , 
2026-02-24, 11:13:30, OK, 97%, 2.26, 7880, -36000, , 16.457, -36000, 97.0%, , , , , , , , , , , , 
2026-02-24, 11:14:30, OK, 97%, 2.21, 7712, -35504, , 16.421, -35504, 97.0%, , , , , , , , , , , , 
2026-02-24, 11:15:30, OK, 96%, 2.31, 7997, -36224, , 16.404, -36224, 96.0%, , , , , , , , , , , , 
2026-02-24, 11:16:30, OK, 95%, 2.33, 7964, -37039, , 16.372, -37039, 95.0%, , , , , , , , , , , , 
2026-02-24, 11:17:30, OK, 94%, 2.34, 7910, -38574, , 16.341, -38574, 94.0%, , , , , , , , , , , , 
2026-02-24, 11:18:30, OK, 93%, 2.16, 7219, -37822, , 16.316, -37822, 93.0%, , , , , , , , , , , , 
2026-02-24, 11:19:30, OK, 92%, 1.63, 5392, -46439, , 16.194, -46439, 92.0%, , , , , , , , , , , , 
2026-02-24, 11:20:30, OK, 91%, 2.23, 7314, -36655, , 16.238, -36655, 91.0%, , , , , , , , , , , , 
2026-02-24, 11:21:30, OK, 91%, 2.23, 7295, -36879, , 16.203, -36879, 91.0%, , , , , , , , , , , , 
2026-02-24, 11:22:30, OK, 90%, 2.27, 7340, -37279, , 16.177, -37279, 90.0%, , , , , , , , , , , , 
