Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.436

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-07, 17:18:58, OK, 99%, 0.00, -1, 10263, , 17.436, 10263, 99.0%, , , , , , , , , , , , 
2026-03-07, 17:19:58, OK, 99%, 2.27, 8092, -38510, , 16.668, -38510, 99.0%, , , , , , , , , , , , 
2026-03-07, 17:20:58, OK, 98%, 1.96, 6920, -40668, , 16.584, -40668, 98.0%, , , , , , , , , , , , 
2026-03-07, 17:21:58, OK, 97%, 2.21, 7706, -31684, , 16.580, -31684, 97.0%, , , , , , , , , , , , 
2026-03-07, 17:22:58, OK, 96%, 1.33, 4605, -61610, , 16.058, -61610, 96.0%, , , , , , , , , , , , 
2026-03-07, 17:23:58, OK, 95%, 1.18, 4040, -66581, , 15.984, -66581, 95.0%, , , , , , , , , , , , 
2026-03-07, 17:24:58, OK, 94%, 2.08, 7031, -46391, , 16.296, -46391, 94.0%, , , , , , , , , , , , 
2026-03-07, 17:25:58, OK, 93%, 2.27, 7609, -35728, , 16.379, -35728, 93.0%, , , , , , , , , , , , 
2026-03-07, 17:26:58, OK, 93%, 2.17, 7261, -38078, , 16.130, -38078, 93.0%, , , , , , , , , , , , 
2026-03-07, 17:27:58, OK, 92%, 2.33, 7726, -33938, , 16.347, -33938, 92.0%, , , , , , , , , , , , 
2026-03-07, 17:28:58, OK, 91%, 1.98, 6474, -36559, , 16.300, -36559, 91.0%, , , , , , , , , , , , 
2026-03-07, 17:29:58, OK, 90%, 1.90, 6159, -37694, , 16.222, -37694, 90.0%, , , , , , , , , , , , 
2026-03-07, 17:30:58, OK, 89%, 2.22, 7124, -35520, , 16.204, -35520, 89.0%, , , , , , , , , , , , 
2026-03-07, 17:31:58, OK, 89%, 2.22, 7111, -35584, , 16.187, -35584, 89.0%, , , , , , , , , , , , 
2026-03-07, 17:32:58, OK, 88%, 2.20, 6972, -35776, , 16.159, -35776, 88.0%, , , , , , , , , , , , 
2026-03-07, 17:33:58, OK, 87%, 1.80, 5641, -42027, , 16.086, -42027, 87.0%, , , , , , , , , , , , 
2026-03-07, 17:34:58, OK, 86%, 1.82, 5634, -42746, , 16.048, -42746, 86.0%, , , , , , , , , , , , 
2026-03-07, 17:35:58, OK, 85%, 1.96, 5999, -39837, , 16.009, -39837, 85.0%, , , , , , , , , , , , 
2026-03-07, 17:36:58, OK, 84%, 2.01, 6071, -40268, , 15.872, -40268, 84.0%, , , , , , , , , , , , 
2026-03-07, 17:37:58, OK, 83%, 1.99, 5933, -40348, , 15.910, -40348, 83.0%, , , , , , , , , , , , 
2026-03-07, 17:38:58, OK, 82%, 1.65, 4883, -72912, , 15.556, -72912, 82.0%, , , , , , , , , , , , 
2026-03-07, 17:39:58, OK, 80%, 1.02, 2935, -72160, , 15.377, -72160, 80.0%, , , , , , , , , , , , 
2026-03-07, 17:40:58, OK, 79%, 1.74, 4947, -39869, , 15.742, -39869, 79.0%, , , , , , , , , , , , 
2026-03-07, 17:41:58, OK, 78%, 1.90, 5326, -40844, , 15.797, -40844, 78.0%, , , , , , , , , , , , 
2026-03-07, 17:42:58, OK, 77%, 1.92, 5310, -39133, , 15.764, -39133, 77.0%, , , , , , , , , , , , 
2026-03-07, 17:43:58, OK, 76%, 2.15, 5870, -36975, , 15.748, -36975, 76.0%, , , , , , , , , , , , 
