Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.208

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-08, 11:02:27, OK, 100%, 0.00, -1, 0, , 17.208, 0, 100.0%, , , , , , , , , , , , 
2026-03-08, 11:03:27, OK, 99%, 1.17, 4155, -64215, , 16.323, -64215, 99.0%, , , , , , , , , , , , 
2026-03-08, 11:04:27, OK, 99%, 2.00, 7115, -36336, , 16.414, -36336, 99.0%, , , , , , , , , , , , 
2026-03-08, 11:05:27, OK, 98%, 2.08, 7336, -36240, , 16.391, -36240, 98.0%, , , , , , , , , , , , 
2026-03-08, 11:06:27, OK, 97%, 1.77, 6186, -36192, , 16.339, -36192, 97.0%, , , , , , , , , , , , 
2026-03-08, 11:07:27, OK, 96%, 2.00, 6910, -35520, , 16.333, -35520, 96.0%, , , , , , , , , , , , 
2026-03-08, 11:08:27, OK, 95%, 2.05, 6994, -35472, , 16.321, -35472, 95.0%, , , , , , , , , , , , 
2026-03-08, 11:09:27, OK, 94%, 2.10, 7093, -35472, , 16.286, -35472, 94.0%, , , , , , , , , , , , 
2026-03-08, 11:10:27, OK, 93%, 2.17, 7268, -36112, , 16.246, -36112, 93.0%, , , , , , , , , , , , 
2026-03-08, 11:11:27, OK, 93%, 2.18, 7306, -35696, , 16.225, -35696, 92.0%, , , , , , , , , , , , 
2026-03-08, 11:12:27, OK, 92%, 2.08, 6890, -35584, , 16.196, -35584, 92.0%, , , , , , , , , , , , 
2026-03-08, 11:13:27, OK, 91%, 2.02, 6631, -36448, , 16.172, -36448, 91.0%, , , , , , , , , , , , 
2026-03-08, 11:14:27, OK, 90%, 2.03, 6577, -35393, , 16.143, -35393, 90.0%, , , , , , , , , , , , 
2026-03-08, 11:15:27, OK, 89%, 2.06, 6585, -35568, , 16.116, -35568, 89.0%, , , , , , , , , , , , 
2026-03-08, 11:16:27, OK, 88%, 2.09, 6613, -37806, , 16.079, -37806, 88.0%, , , , , , , , , , , , 
2026-03-08, 11:17:27, OK, 87%, 2.10, 6573, -37311, , 15.811, -37311, 87.0%, , , , , , , , , , , , 
2026-03-08, 11:18:27, OK, 86%, 2.11, 6540, -37599, , 15.955, -37599, 86.0%, , , , , , , , , , , , 
2026-03-08, 11:19:28, OK, 86%, 1.99, 6158, -37375, , 15.969, -37375, 86.0%, , , , , , , , , , , , 
2026-03-08, 11:20:28, OK, 85%, 1.94, 5922, -36991, , 15.968, -36991, 85.0%, , , , , , , , , , , , 
2026-03-08, 11:21:28, OK, 84%, 1.93, 5843, -37295, , 15.943, -37295, 84.0%, , , , , , , , , , , , 
2026-03-08, 11:22:28, OK, 83%, 2.10, 6269, -37247, , 15.912, -37247, 83.0%, , , , , , , , , , , , 
2026-03-08, 11:23:28, OK, 82%, 2.10, 6193, -37055, , 15.838, -37055, 82.0%, , , , , , , , , , , , 
2026-03-08, 11:24:28, OK, 81%, 1.95, 5676, -37918, , 15.854, -37918, 81.0%, , , , , , , , , , , , 
2026-03-08, 11:25:28, OK, 80%, 1.37, 3940, -56430, , 15.523, -56430, 80.0%, , , , , , , , , , , , 
2026-03-08, 11:26:28, OK, 79%, 1.78, 5049, -36016, , 15.763, -36016, 79.0%, , , , , , , , , , , , 
2026-03-08, 11:27:28, OK, 78%, 2.02, 5663, -38462, , 15.758, -38462, 78.0%, , , , , , , , , , , , 
2026-03-08, 11:28:28, OK, 77%, 1.95, 5396, -36464, , 15.722, -36464, 77.0%, , , , , , , , , , , , 
2026-03-08, 11:29:28, OK, 76%, 1.97, 5388, -38398, , 15.691, -38398, 76.0%, , , , , , , , , , , , 
2026-03-08, 11:30:28, OK, 75%, 2.10, 5681, -36927, , 15.664, -36927, 75.0%, , , , , , , , , , , , 
2026-03-08, 11:31:28, OK, 74%, 2.06, 5491, -42235, , 15.400, -42235, 74.0%, , , , , , , , , , , , 
2026-03-08, 11:32:28, OK, 73%, 1.14, 2984, -69922, , 15.075, -69922, 73.0%, , , , , , , , , , , , 
2026-03-08, 11:33:28, OK, 71%, 0.99, 2525, -81176, , 15.294, -81176, 71.0%, , , , , , , , , , , , 
2026-03-08, 11:34:28, OK, 70%, 1.72, 4344, -41979, , 15.419, -41979, 70.0%, , , , , , , , , , , , 
2026-03-08, 11:35:28, OK, 69%, 1.98, 4915, -37631, , 15.452, -37631, 69.0%, , , , , , , , , , , , 
2026-03-08, 11:36:28, OK, 68%, 2.10, 5151, -37039, , 15.442, -37039, 68.0%, , , , , , , , , , , , 
2026-03-08, 11:37:28, OK, 67%, 2.04, 4928, -37567, , 15.409, -37567, 67.0%, , , , , , , , , , , , 
2026-03-08, 11:38:28, OK, 66%, 2.00, 4760, -36879, , 15.392, -36879, 66.0%, , , , , , , , , , , , 
2026-03-08, 11:39:28, OK, 65%, 2.15, 5024, -36783, , 15.345, -36783, 65.0%, , , , , , , , , , , , 
2026-03-08, 11:40:28, OK, 65%, 1.98, 4630, -36687, , 15.331, -36687, 65.0%, , , , , , , , , , , , 
2026-03-08, 11:41:28, OK, 64%, 2.02, 4665, -36751, , 15.305, -36751, 64.0%, , , , , , , , , , , , 
2026-03-08, 11:42:28, OK, 63%, 2.09, 4740, -36719, , 15.279, -36719, 63.0%, , , , , , , , , , , , 
2026-03-08, 11:43:28, OK, 62%, 2.10, 4692, -36847, , 15.252, -36847, 62.0%, , , , , , , , , , , , 
2026-03-08, 11:44:28, OK, 61%, 2.05, 4502, -36831, , 15.228, -36831, 61.0%, , , , , , , , , , , , 
2026-03-08, 11:45:28, OK, 60%, 1.97, 4265, -37247, , 15.182, -37247, 60.0%, , , , , , , , , , , , 
2026-03-08, 11:46:28, OK, 59%, 1.96, 4161, -37135, , 15.173, -37135, 59.0%, , , , , , , , , , , , 
2026-03-08, 11:47:28, OK, 59%, 1.98, 4196, -37023, , 15.153, -37023, 58.0%, , , , , , , , , , , , 
2026-03-08, 11:48:28, OK, 58%, 2.10, 4390, -37263, , 15.126, -37263, 58.0%, , , , , , , , , , , , 
2026-03-08, 11:49:28, OK, 57%, 2.13, 4376, -37055, , 15.098, -37055, 57.0%, , , , , , , , , , , , 
2026-03-08, 11:50:28, OK, 56%, 2.13, 4302, -37007, , 15.083, -37007, 56.0%, , , , , , , , , , , , 
2026-03-08, 11:51:28, OK, 55%, 1.95, 3859, -37167, , 15.055, -37167, 55.0%, , , , , , , , , , , , 
2026-03-08, 11:52:28, OK, 54%, 1.94, 3778, -37055, , 15.033, -37055, 54.0%, , , , , , , , , , , , 
2026-03-08, 11:53:28, OK, 53%, 1.97, 3750, -37247, , 15.014, -37247, 53.0%, , , , , , , , , , , , 
2026-03-08, 11:54:28, OK, 52%, 2.04, 3812, -37311, , 14.991, -37311, 52.0%, , , , , , , , , , , , 
2026-03-08, 11:55:28, OK, 51%, 2.05, 3764, -37311, , 14.971, -37311, 51.0%, , , , , , , , , , , , 
2026-03-08, 11:56:28, OK, 50%, 2.13, 3830, -37215, , 14.931, -37215, 50.0%, , , , , , , , , , , , 
2026-03-08, 11:57:28, OK, 50%, 1.98, 3560, -38334, , 14.886, -38334, 50.0%, , , , , , , , , , , , 
2026-03-08, 11:58:28, OK, 49%, 1.95, 3436, -37375, , 14.861, -37375, 49.0%, , , , , , , , , , , , 
2026-03-08, 11:59:28, OK, 48%, 1.94, 3360, -37295, , 14.897, -37295, 48.0%, , , , , , , , , , , , 
2026-03-08, 12:00:28, OK, 47%, 1.94, 3287, -37966, , 14.874, -37966, 47.0%, , , , , , , , , , , , 
2026-03-08, 12:01:28, OK, 46%, 2.01, 3322, -37758, , 14.857, -37758, 46.0%, , , , , , , , , , , , 
2026-03-08, 12:02:28, OK, 45%, 2.06, 3335, -38430, , 14.842, -38430, 45.0%, , , , , , , , , , , , 
2026-03-08, 12:03:28, OK, 44%, 2.02, 3202, -38110, , 14.815, -38110, 44.0%, , , , , , , , , , , , 
2026-03-08, 12:04:28, OK, 43%, 1.91, 2953, -37982, , 14.807, -37982, 43.0%, , , , , , , , , , , , 
2026-03-08, 12:05:28, OK, 42%, 2.05, 3093, -39021, , 14.777, -39021, 42.0%, , , , , , , , , , , , 
2026-03-08, 12:06:28, OK, 41%, 2.03, 3002, -38526, , 14.768, -38526, 41.0%, , , , , , , , , , , , 
2026-03-08, 12:07:28, OK, 41%, 1.99, 2939, -38398, , 14.751, -38398, 40.0%, , , , , , , , , , , , 
2026-03-08, 12:08:28, OK, 40%, 2.02, 2908, -38110, , 14.743, -38110, 39.0%, , , , , , , , , , , , 
2026-03-08, 12:09:28, OK, 39%, 1.99, 2795, -38222, , 14.720, -38222, 39.0%, , , , , , , , , , , , 
2026-03-08, 12:10:28, OK, 38%, 1.91, 2619, -38782, , 14.716, -38782, 38.0%, , , , , , , , , , , , 
2026-03-08, 12:11:28, OK, 37%, 1.89, 2522, -38366, , 14.690, -38366, 37.0%, , , , , , , , , , , , 
2026-03-08, 12:12:28, OK, 36%, 1.87, 2423, -38350, , 14.677, -38350, 36.0%, , , , , , , , , , , , 
2026-03-08, 12:13:28, OK, 35%, 1.92, 2418, -39181, , 14.668, -39181, 35.0%, , , , , , , , , , , , 
2026-03-08, 12:14:28, OK, 34%, 1.98, 2425, -38302, , 14.656, -38302, 34.0%, , , , , , , , , , , , 
2026-03-08, 12:15:28, OK, 33%, 1.99, 2365, -38318, , 14.642, -38318, 33.0%, , , , , , , , , , , , 
2026-03-08, 12:16:28, OK, 32%, 1.97, 2264, -38574, , 14.619, -38574, 32.0%, , , , , , , , , , , , 
2026-03-08, 12:17:28, OK, 31%, 1.91, 2132, -38462, , 14.619, -38462, 31.0%, , , , , , , , , , , , 
2026-03-08, 12:18:28, OK, 30%, 1.97, 2125, -34337, , 14.652, -34337, 30.0%, , , , , , , , , , , , 
2026-03-08, 12:19:28, OK, 30%, 2.33, 2514, -34098, , 14.651, -34098, 29.0%, , , , , , , , , , , , 
2026-03-08, 12:20:28, OK, 29%, 2.28, 2382, -33794, , 14.646, -33794, 29.0%, , , , , , , , , , , , 
2026-03-08, 12:21:28, OK, 28%, 2.29, 2313, -33810, , 14.636, -33810, 28.0%, , , , , , , , , , , , 
2026-03-08, 12:22:28, OK, 27%, 2.31, 2244, -33714, , 14.625, -33714, 27.0%, , , , , , , , , , , , 
2026-03-08, 12:23:28, OK, 26%, 2.34, 2190, -33858, , 14.616, -33858, 26.0%, , , , , , , , , , , , 
2026-03-08, 12:24:28, OK, 26%, 2.31, 2160, -33730, , 14.608, -33730, 26.0%, , , , , , , , , , , , 
